Name,Calories, Protein,Carbs,Fats
Paneer stuffed cheela/chilla,205.19,19.16,11.44,8.89
Indian style egg bhujia (Anda bhujia (Indian style)),102.83,3.76,6.10,7.02
French omelette/omlet,211.04,0.41,10.03,18.86
Puffy omelette/omlet,188.15,0.08,8.82,16.84
Orange omelette/omlet,194.66,1.68,8.93,16.84
Cheese and mushroom omelette/omlet,205.63,1.68,9.69,17.82
Spanish omelette/omlet,157.45,5.10,8.25,11.44
Mixed stock,25.19,0.33,2.06,1.71
Meat stock,24.48,0.00,2.10,1.78
White stock,6.99,0.40,0.07,0.56
Meat consomme (with mutton),29.76,0.51,14.86,13.68
Consomme au julienne,27.76,1.49,12.49,10.66
